Rank,Product Name,Total Score,Views,Likes,Comments,Shares,Engagement Rate,TikTok URL
1,3D Printed Monster Energy Ultra Folding Door Display Box⚡️ 📁Model STL: Link in bio 🧶Filament: @SUNLU,37.41,0,0,0,0,2.65,https://www.tiktok.com/@NK3DLab/video/7597135957988527382
2,everyday bit by bit. I will organise my kitchen so it doesn't fall into chaos. thank you 3D printing,37.4,0,0,0,0,3.55,https://www.tiktok.com/@Beginn3r3DPrinter/video/7595961123359247638
3,TOP 3 satisfying 3D prints in 45 seconds!  (Pt.8) Quick showcase of three satisfying 3D printed fidg,37.02,0,0,0,0,3.3,https://www.tiktok.com/@3dToyLab/video/7596048643564621068
4,7 Insanely Fun 3D-Prints in Only 1 Minute! #3dprinting #satisfying #fyp ,35.28,0,0,0,0,2.57,https://www.tiktok.com/@mind2make/video/7594256473832574239
5,4 Satisfying 3D Printed Fidget Toys You Must See!  A quick round of four addictive print-and-play fi,35.22,0,0,0,0,3.82,https://www.tiktok.com/@3dToyLab/video/7593815392519195915
